Product Name,License Type,Product Line (PL),Product Family,Unit of Measure,List Price (USD),PRP Number,Status,Price List
BMC Helix AI Service Management on AWS (FedRAMP) - Standard - Concurrent User,SaaS,ITSM,ITSM SaaS,per concurrent user - SaaS ,1340.25,PRP-00015550,Controlled,USA List Prices 
BMC Helix AI Service Management on AWS (FedRAMP) - Standard - Named User,SaaS,ITSM,ITSM SaaS,per named user - SaaS ,446.75,PRP-00015554,Controlled,USA List Prices 
BMC Helix AI Service Management OnPrem - Advanced - Concurrent User,OPS,ITSM,ITSM On Prem,per concurrent user ,1038.6,PRP-00015555,Generally Available,USA List Prices 
BMC Helix AI Service Management OnPrem - Advanced - Concurrent User,Perpetual,ITSM,ITSM On Prem,per concurrent user ,36656,PRP-00015556,Controlled,USA List Prices 
BMC Helix AI Service Management OnPrem - Advanced - Named User,OPS,ITSM,ITSM On Prem,per named user ,346.21,PRP-00015559,Generally Available,USA List Prices 
BMC Helix AI Service Management OnPrem - Advanced - Named User,Perpetual,ITSM,ITSM On Prem,per named user ,12219,PRP-00015560,Controlled,USA List Prices 
BMC Helix AI Service Management OnPrem - Standard - Concurrent User,OPS,ITSM,ITSM On Prem,per concurrent user ,791.12,PRP-00015557,Generally Available,USA List Prices 
BMC Helix AI Service Management OnPrem - Standard - Concurrent User,Perpetual,ITSM,ITSM On Prem,per concurrent user ,22338,PRP-00015558,Controlled,USA List Prices 
BMC Helix AI Service Management OnPrem - Standard - Named User,OPS,ITSM,ITSM On Prem,per named user ,263.71,PRP-00015561,Generally Available,USA List Prices 
BMC Helix AI Service Management OnPrem - Standard - Named User,Perpetual,ITSM,ITSM On Prem,per named user ,7446,PRP-00015562,Controlled,USA List Prices 
BMC Helix AIOps - 1M Spans per month with 30 days-retention,SaaS,ITOM,ITOM SaaS,Each ,7.72,PRP-00015113,Controlled,USA List Prices 
BMC Helix AIOps - 1M Spans per month with 7 days-retention,SaaS,ITOM,ITOM SaaS,Each ,3.43,PRP-00015114,Controlled,USA List Prices 
BMC Helix AIOps - Advanced,SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,156.65,PRP-00011246,Generally Available,USA List Prices 
BMC Helix AIOps - Standard,SaaS,ITOM,ITOM SaaS,per resource unit - SaaS ,107.21,PRP-00011247,Generally Available,USA List Prices 
