OldTermYrs,NewTermYrs_1,NewTermYrs_2,NewTermYrs_3,NewTermYrs_4,NewTermYrs_5
1,1,1.25,1.28,1.3,1.35
2,1,1,1.2,1.23,1.25
3,1,1,1,1.15,1.18
4,1,1,1,1,1.1
5,1,1,1,1,1
